1,33,11,117
3,13,115,39
5,37,41,89
7,15,83,105
9,41,35,19
11,51,1,21
13,39,3,49,33
15,7,37,41
17,19,41,9
19,17,29,9
21,47,27,11
23,55,25,57
25,27,59
27,59,21,25
29,45,19,47
31,35,51,87
33,1,39,85
35,31,9,119
37,5,43,105
39,13,33,49
41,43,9,5,17
43,41,37,5
45,29,19,57
47,21,57,51
49,59,39,13
51,11,31,47
53,55,27
55,23,57
57,47,55
59,27,49,25,21
61,93,97,99
63,95,101,73
65,97,63
67,65,61
69,109,103,89
71,79,91,61
73,99,81,93
75,111,69,101
77,79,115,71,85
79,77,71,85
81,107,73,87
83,105,7,37
85,117,33,79
87,119,31,81
89,105,5,69
91,71,97,99
93,61,73
95,63,93,97
97,65,61,91
99,73,107,61
101,103,109,63
103,101,69,111
105,89,83,37,111
107,81,99,117
109,69,101,119
111,75,105,89
113,7,105,37
115,3,77,79
117,85,1,107
119,87,35,109
121,153,131,237
123,133,235,159
125,157,161,209
127,135,203,225
129,161,155,139
131,171,121,141
133,159,123,169,153
135,127,157,161
137,139,161,129
139,137,149,129
141,167,147,131
143,175,145,177
145,147,179
147,179,141,145
149,165,139,167
151,155,171,207
153,121,159,205
155,151,129,239
157,125,163,225
159,133,153,169
161,163,129,125,137
163,161,157,125
165,149,139,177
167,141,177,171
169,179,159,133
171,131,151,167
173,175,147
175,143,177
177,167,175
179,147,169,145,141
181,213,217,219
183,215,221,193
185,217,183
187,185,181
189,229,223,209
191,199,211,181
193,219,201,213
195,231,189,221
197,199,235,191,205
199,197,191,205
201,227,193,207
203,225,127,157
205,237,153,199
207,239,151,201
209,225,125,189
211,191,217,219
213,181,193
215,183,213,217
217,185,181,211
219,193,227,181
221,223,229,183
223,221,189,231
225,209,203,157,231
227,201,219,237
229,189,221,239
231,195,225,209
233,127,225,157
235,123,197,199
237,205,121,227
239,207,155,229
241,273,251,357
243,253,355,279
245,277,281,329
247,255,323,345
249,281,275,259
251,291,241,261
253,279,243,289,273
255,247,277,281
257,259,281,249
259,257,269,249
261,287,267,251
263,295,265,297
265,267,299
267,299,261,265
269,285,259,287
271,275,291,327
273,241,279,325
275,271,249,359
277,245,283,345
279,253,273,289
281,283,249,245,257
283,281,277,245
285,269,259,297
287,261,297,291
289,299,279,253
291,251,271,287
293,295,267
295,263,297
297,287,295
299,267,289,265,261
301,333,337,339
303,335,341,313
305,337,303
307,305,301
309,349,343,329
311,319,331,301
313,339,321,333
315,351,309,341
317,319,355,311,325
319,317,311,325
321,347,313,327
323,345,247,277
325,357,273,319
327,359,271,321
329,345,245,309
331,311,337,339
333,301,313
335,303,333,337
337,305,301,331
339,313,347,301
341,343,349,303
343,341,309,351
345,329,323,277,351
347,321,339,357
349,309,341,359
351,315,345,329
353,247,345,277
355,243,317,319
357,325,241,347
359,327,275,349
361,393,371,477
363,373,475,399
365,397,401,449
367,375,443,465
369,401,395,379
371,411,361,381
373,399,363,409,393
375,367,397,401
377,379,401,369
379,377,389,369
381,407,387,371
383,415,385,417
385,387,419
387,419,381,385
389,405,379,407
391,395,411,447
393,361,399,445
395,391,369,479
397,365,403,465
399,373,393,409
401,403,369,365,377
403,401,397,365
405,389,379,417
407,381,417,411
409,419,399,373
411,371,391,407
413,415,387
415,383,417
417,407,415
419,387,409,385,381
421,453,457,459
423,455,461,433
425,457,423
427,425,421
429,469,463,449
431,439,451,421
433,459,441,453
435,471,429,461
437,439,475,431,445
439,437,431,445
441,467,433,447
443,465,367,397
445,477,393,439
447,479,391,441
449,465,365,429
451,431,457,459
453,421,433
455,423,453,457
457,425,421,451
459,433,467,421
461,463,469,423
463,461,429,471
465,449,443,397,471
467,441,459,477
469,429,461,479
471,435,465,449
473,367,465,397
475,363,437,439
477,445,361,467
479,447,395,469
