Run_pulse,run_noise,ana_target,exttrig,grouptrig
0,0,noise,off,off
1,0,Mn,off,off
2,2,noise,off,off
3,3,noise,off,off
4,3,Mn,off,off
5,5,noise,off,off
6,6,noise,off,off
7,6,Mn,off,off
8,8,noise,off,off
9,9,noise,off,off
10,9,Mn,off,off
11,11,noise,off,off
12,12,noise,off,off
13,12,Mn,off,off
14,14,noise,off,off
15,15,noise,off,off
16,15,Mn,off,off
17,17,noise,off,off
18,18,noise,off,off
19,19,noise,off,off
20,19,Cr,off,off
21,21,noise,off,off
22,22,noise,off,off
23,22,Ni,off,off
24,24,noise,off,off
25,25,noise,off,off
26,25,Cu,off,off
27,27,noise,off,off
28,28,noise,off,off
29,28,Co,off,off
30,30,noise,off,off
31,31,noise,off,off
32,31,CrCoCu,off,off
33,33,noise,off,off
34,34,noise,off,off
35,33,CrCo,off,off
36,36,noise,off,off
